community;PageRank;TotalSet;rulesIntersection;onlyOnPageRank;onlyOnTotalSet
151;rina=baixo,support nsf=baixo;scienc univers=baixo,undirect=baixo,undirect graph=baixo,univers california=baixo;;random=alto,rina=baixo;inform comput=baixo,support nsf=baixo,undirect=baixo
151;rina=baixo,undirect graph=baixo;instanti=baixo,scienc univers=baixo,undirect graph=baixo,univers california=baixo;;graphic model=alto,nsf grant=baixo,requir=baixo;instanti=baixo,irvin=baixo,undirect graph=baixo
151;inform comput=baixo,rina=baixo;inform comput=baixo,support nsf=baixo,undirect=baixo;;rina=baixo,signific=baixo,various=baixo;instanti=baixo,scienc univers=baixo,undirect graph=baixo,univers california=baixo
151;direct acycl graph=baixo,rina=baixo;irvin=baixo,scienc univers=baixo,undirect graph=baixo;;constraint satisfact=baixo,rina=baixo;graphic model=alto,undirect graph=baixo,univers california=baixo
151;repres=baixo,rina=baixo;instanti=baixo,irvin=baixo,undirect graph=baixo;;nsf grant=baixo,rina=baixo;graphic model=alto,scope=alto
151;constraint=alto,rina=baixo;irvin=baixo,support nsf=baixo;;rina=baixo,satisfact problem=baixo;irvin=baixo,scienc univers=baixo,undirect graph=baixo
151;graphic model=alto,rina=baixo;darwich=baixo,graphic model=alto;;rina=baixo,support nsf=baixo;irvin=baixo,support nsf=baixo
151;evid=baixo,rina=baixo;graphic model=alto,scope=alto;;inform comput=baixo,rina=baixo;scienc univers=baixo,undirect=baixo,undirect graph=baixo,univers california=baixo
151;nsf grant=baixo,rina=baixo;dechter=alto,network repres=baixo;;repres=baixo,rina=baixo;complet=baixo,dechter=alto
151;rina=baixo,simpl=baixo;dechter=alto,signific=baixo;;rina=baixo,undirect graph=baixo;darwich=baixo,graphic model=alto
151;assign=alto,rina=baixo;graphic model=alto,undirect graph=baixo,univers california=baixo;;dechter=alto,requir=baixo;graphic model=alto,instanti=baixo,undirect graph=baixo
151;order=alto,rina=baixo;complet=baixo,dechter=alto;;direct acycl graph=baixo,rina=baixo;dechter=alto,instanti=baixo
151;acycl graph=baixo,rina=baixo;graphic model=alto,instanti=baixo,undirect graph=baixo;;constraint=alto,rina=baixo;dechter=alto,signific=baixo
151;rina=baixo,satisfact problem=baixo;dechter=alto,instanti=baixo;;program=baixo,rina=baixo;dechter=alto,paramet=baixo
151;dechter=alto,requir=baixo;dechter=alto,paramet=baixo;;rina=baixo,simpl=baixo;dechter=alto,input=baixo
151;random=alto,rina=baixo;graphic model=alto,instanti=baixo,nsf grant=baixo;;acycl graph=baixo,rina=baixo;dechter=alto,network repres=baixo
151;constraint satisfact=baixo,rina=baixo;signific=baixo,support nsf=baixo,undirect=baixo;;graphic model=alto,rina=baixo;signific=baixo,support nsf=baixo,undirect=baixo
151;program=baixo,rina=baixo;dechter=alto,empir=baixo;;order=alto,rina=baixo;final=baixo,irvin=baixo,undirect graph=baixo
151;rina=baixo,signific=baixo,various=baixo;final=baixo,irvin=baixo,undirect graph=baixo;;assign=alto,rina=baixo;dechter=alto,empir=baixo
151;graphic model=alto,nsf grant=baixo,requir=baixo;dechter=alto,input=baixo;;evid=baixo,rina=baixo;graphic model=alto,instanti=baixo,nsf grant=baixo
